poi_id,category_id
32908008,231
4723736,48
14996222,72
33004239,48
33658951,140
33658951,175
26145521,124
12830045,91
28663974,118
8114539,48
24066683,56
26877583,48
19151310,77
32767240,72
33019318,232
27971040,63
33045653,91
13358387,48
25179097,233
27970584,63
24096709,140
24096709,234
11625919,56
19183827,124
32899546,86
20192330,127
28018637,41
17382563,48
15009868,52
25206439,140
25206439,235
11677471,150
2218023,72
13737675,48
2284697,56
13002142,48
24054658,72
26876086,131
26866644,48
3257231,56
33954767,184
23265395,236
34082912,237
32812698,48
25212653,48
25332831,48
1949590,238
32768903,239
32716558,63
11881273,48
26782828,192
33021642,56
25347980,48
31213598,240
11824497,56
26397951,48
