user_id,origin_id
2208,42.0
2209,571.0
2212,1.0
2213,42.0
2214,75.0
2215,1.0
2217,1.0
2218,272.0
2219,201.0
2220,200.0
2221,42.0
2222,20.0
2223,96.0
2226,1.0
2227,270.0
2229,572.0
2230,573.0
2231,574.0
2234,575.0
2236,92.0
2237,1.0
2238,42.0
2240,576.0
2241,79.0
2242,329.0
2243,9.0
2244,577.0
2245,41.0
2246,576.0
2247,9.0
2248,578.0
2249,108.0
2250,579.0
2251,580.0
2252,1.0
2253,130.0
2255,112.0
2256,581.0
2257,475.0
2258,582.0
2259,42.0
2260,583.0
2261,584.0
2262,1.0
2263,585.0
2264,1.0
2266,586.0
2267,587.0
2268,588.0
2270,1.0
2271,3.0
2272,329.0
2273,589.0
2276,130.0
2277,41.0
2278,1.0
2280,590.0
2284,17.0
2285,1.0
2286,14.0
2287,591.0
2288,592.0
2289,362.0
2290,593.0
2291,20.0
2292,70.0
2295,106.0
2296,594.0
2297,595.0
2298,345.0
2299,263.0
2300,10.0
2301,490.0
2302,596.0
2303,504.0
2304,96.0
2305,597.0
2306,598.0
2309,1.0
2310,576.0
2311,1.0
2312,1.0
2314,9.0
2315,599.0
2316,39.0
2317,1.0
2318,130.0
2323,600.0
2324,184.0
2325,376.0
2326,78.0
2327,601.0
2329,602.0
2333,1.0
2335,1.0
2337,1.0
2338,1.0
2339,1.0
2340,1.0
2341,89.0
2342,231.0
2343,603.0
2344,41.0
2345,604.0
2346,96.0
2347,140.0
2349,1.0
2350,9.0
2351,26.0
2352,605.0
2353,94.0
2356,606.0
2358,64.0
2359,1.0
2363,1.0
2364,1.0
2365,607.0
2366,200.0
2367,608.0
2368,9.0
2371,1.0
2372,56.0
2373,503.0
2374,1.0
2375,503.0
2377,609.0
2382,610.0
2383,611.0
2384,612.0
2385,613.0
2386,614.0
2388,42.0
2389,41.0
2390,9.0
2391,285.0
2395,615.0
2396,616.0
2397,100.0
2400,143.0
2401,617.0
2402,292.0
2403,92.0
2404,618.0
2405,619.0
2407,113.0
2408,243.0
2412,3.0
2413,41.0
2415,136.0
2416,345.0
2417,620.0
2418,621.0
2419,622.0
2420,520.0
2422,12.0
2423,576.0
2424,623.0
2426,624.0
2428,469.0
2429,96.0
2431,625.0
2434,140.0
2435,92.0
2439,503.0
2440,370.0
2441,64.0
2442,626.0
2443,627.0
2444,270.0
2445,628.0
2448,368.0
2450,164.0
2451,200.0
2452,629.0
2453,20.0
2457,64.0
2458,197.0
2459,1.0
2460,140.0
2461,1.0
2462,42.0
2463,1.0
2466,1.0
2467,1.0
2468,630.0
2474,1.0
2480,1.0
2492,571.0
2496,200.0
2500,22.0
2502,631.0
2505,188.0
2506,1.0
2508,632.0
2512,144.0
2518,633.0
2521,1.0
2527,1.0
2528,588.0
2529,634.0
2530,373.0
2536,143.0
2538,214.0
2539,265.0
2540,336.0
2541,92.0
2542,42.0
2543,635.0
2544,401.0
2545,62.0
2546,1.0
2547,64.0
2549,636.0
2550,48.0
2551,637.0
2561,1.0
2574,1.0
2581,1.0
2582,564.0
2584,1.0
2596,1.0
2598,3.0
2602,1.0
2611,638.0
2613,75.0
2614,336.0
2616,42.0
2618,1.0
2620,639.0
2621,1.0
2622,640.0
2624,146.0
2627,641.0
2628,642.0
2629,200.0
2630,1.0
2631,200.0
2632,272.0
2633,643.0
2634,644.0
2635,64.0
2636,645.0
2637,96.0
2638,646.0
2639,647.0
2640,191.0
2641,641.0
2642,648.0
2643,56.0
2644,649.0
2645,650.0
2646,651.0
2647,42.0
2648,336.0
2649,64.0
2650,409.0
2651,243.0
2652,64.0
2653,95.0
2654,652.0
2655,124.0
2656,96.0
2657,653.0
2658,9.0
2659,654.0
2660,655.0
2661,12.0
2662,656.0
2663,436.0
2664,113.0
2665,186.0
2666,657.0
2667,658.0
2668,659.0
2669,660.0
2672,62.0
2673,661.0
2674,64.0
2675,93.0
2676,436.0
2677,662.0
2690,1.0
2697,469.0
2702,489.0
2712,1.0
2715,3.0
2727,1.0
2737,38.0
2738,3.0
2743,26.0
2744,663.0
2745,664.0
2747,41.0
2748,665.0
2749,666.0
2751,173.0
2752,39.0
2753,9.0
2757,632.0
2760,199.0
2762,667.0
2764,64.0
2766,113.0
2768,668.0
2772,93.0
2773,669.0
2775,251.0
2776,670.0
2779,9.0
2780,1.0
2782,42.0
2783,226.0
2784,41.0
2785,289.0
2786,265.0
2787,671.0
2788,378.0
2791,1.0
2792,2.0
2793,188.0
2794,25.0
2795,244.0
2796,568.0
2797,1.0
2800,672.0
2801,575.0
2802,673.0
2803,466.0
2804,268.0
2806,674.0
2807,336.0
2808,2.0
2809,1.0
2810,329.0
2811,1.0
2812,1.0
2813,75.0
2815,1.0
2816,675.0
2818,1.0
2819,93.0
2820,676.0
2821,677.0
2822,678.0
2823,42.0
2824,277.0
2825,42.0
2826,106.0
2827,559.0
2828,679.0
2829,3.0
2831,108.0
2832,418.0
2834,56.0
2836,680.0
2839,64.0
2840,169.0
2841,681.0
2842,662.0
2843,328.0
2844,1.0
2846,682.0
2848,188.0
2851,428.0
2852,1.0
2853,683.0
2857,1.0
2859,1.0
2863,1.0
2864,1.0
2867,2.0
2868,364.0
2870,1.0
2871,1.0
2873,1.0
2875,1.0
2876,1.0
2877,1.0
2878,1.0
2879,41.0
2881,684.0
2882,685.0
2883,580.0
2885,686.0
2886,1.0
2887,687.0
2889,62.0
2891,688.0
2892,1.0
2893,1.0
2894,1.0
2895,1.0
2896,689.0
2897,42.0
2898,5.0
2899,42.0
2900,37.0
2901,690.0
2902,1.0
2903,691.0
2904,692.0
2905,110.0
2906,1.0
2907,31.0
2908,200.0
2909,108.0
2910,9.0
2911,2.0
2912,64.0
2915,693.0
2918,694.0
2919,88.0
2920,31.0
2921,1.0
2922,22.0
2923,1.0
2924,1.0
2925,2.0
2926,695.0
2927,12.0
2928,696.0
2929,504.0
2930,41.0
2939,697.0
2944,698.0
2946,1.0
2947,699.0
2948,700.0
2949,615.0
