poi_id,region_id
26328336,11
20209996,3
26790096,2
26808842,1
31324968,2
26731875,3
26101285,2
26772195,2
26790666,1
25432480,1
19102676,1
25453927,1
26335749,2
26224631,1
15106339,1
14121783,10
20197907,18
20156697,1
8128439,2
26590750,1
7903772,1
26536608,1
11695843,1
26450377,7
26454807,1
26432345,1
25312134,2
25451870,1
33996550,1
28040588,2
20950000,1
25568967,1
25272087,2
25437734,10
13979482,1
25456261,4
25447663,4
25369844,16
13455122,2
25409292,1
25405021,1
27726612,1
25338450,1
25352180,1
24814925,3
25353672,3
24973320,10
12996907,1
17757563,1
24960337,1
9738873,2
11039279,2
24164927,1
13412922,2
7370604,2
25064567,2
12287077,1
21390152,6
6662044,1
25219214,1
25223013,1
17836722,1
25137118,2
20054353,2
25184748,1
8180440,2
25043559,14
16710665,1
25188798,1
19494274,1
4408947,1
25003227,1
28118264,1
25065928,3
24923802,1
6632761,2
24993350,1
20263855,3
24982787,1
24981209,1
12500056,1
16959077,1
24134294,1
24038583,1
506280,1
23914919,10
34080461,2
15028608,4
33953078,2
23287842,1
32601216,1
10818052,1
12073351,1
24067964,1
23874854,1
15745917,1
2556005,3
10813505,1
27945236,1
32799954,1
34473941,1
34393215,3
6948887,3
34261420,1
27689700,1
34322800,1
6983495,1
24950470,10
8587882,1
33969108,1
20305862,1
14067881,1
25091259,2
32842412,1
23330076,1
9715543,1
11434471,1
23273136,2
23263886,1
32842444,2
23195941,4
11677621,1
14790177,1
2493165,1
33989010,2
33393215,2
12643528,1
8850621,1
13087013,1
6401503,1
21012277,3
16740664,1
21268733,3
17531564,1
21319629,1
19447845,2
21248306,1
33248572,2
4972219,2
33083251,1
21010405,2
21012921,1
20376459,6
20995215,1
33016679,1
10844805,1
20792600,2
2437849,1
11929810,3
19808432,1
19274871,1
8851172,1
12296395,1
20220998,3
32775591,1
32695842,2
20303138,1
19944624,1
20093041,1
19900198,3
17749596,1
19924371,3
19942520,1
5960157,1
27679366,2
24109775,3
15106411,10
8310688,1
9715548,1
19516465,2
19327228,1
19459687,1
12860120,1
19500276,1
15685943,2
19596230,1
19408022,2
17582527,3
27497979,1
18178406,1
19125869,6
19102851,1
18978667,1
18996024,1
17450478,1
19116125,1
17653970,2
9996643,1
20295582,1
19041755,1
17604614,1
17713575,1
23963248,1
4283188,1
17632100,1
11695391,1
17632152,1
17653187,1
17623672,1
12212100,2
6436751,2
15661725,1
17558133,1
15708927,21
17432329,6
17427184,1
17543521,1
9718464,1
8310437,2
33018176,1
15019686,2
25269981,2
15059685,2
16811460,1
19983914,1
9596399,1
16724811,1
16724834,3
14120389,1
26851178,1
34440500,1
15746122,1
